,nominal_temperature,boundary_conditions
1410,62,"[13, 13, 84, 84, 12, 12, 20, 20, 11, 11, 4, 4, 25, 25, 47, 47, 90, 90, 29, 29, 21, 21, 42, 42, 82, 82, 46, 46, 85, 85, 13, 13, 20, 20, 50, 50]"
1411,40,"[100, 100, 55, 55, 2, 2, 91, 91, 1, 1, 97, 97, 62, 62, 89, 89, 3, 3, 2, 2, 82, 82, 45, 45, 63, 63, 44, 44, 86, 86, 56, 56, 55, 55, 8, 8]"
1412,38,"[35, 35, 26, 26, 98, 98, 71, 71, 18, 18, 20, 20, 69, 69, 78, 78, 39, 39, 3, 3, 38, 38, 2, 2, 14, 14, 77, 77, 25, 25, 32, 32, 27, 27, 82, 82]"
1413,73,"[86, 86, 45, 45, 78, 78, 52, 52, 30, 30, 95, 95, 32, 32, 1, 1, 5, 5, 44, 44, 42, 42, 53, 53, 47, 47, 36, 36, 5, 5, 78, 78, 43, 43, 49, 49]"
1414,69,"[96, 96, 49, 49, 82, 82, 27, 27, 72, 72, 29, 29, 91, 91, 9, 9, 87, 87, 13, 13, 44, 44, 25, 25, 60, 60, 79, 79, 41, 41, 56, 56, 58, 58, 75, 75]"
1415,20,"[23, 23, 4, 4, 46, 46, 1, 1, 5, 5, 37, 37, 92, 92, 1, 1, 73, 73, 54, 54, 23, 23, 0, 0, 3, 3, 16, 16, 56, 56, 77, 77, 99, 99, 85, 85]"
1416,29,"[100, 100, 13, 13, 11, 11, 14, 14, 17, 17, 65, 65, 40, 40, 41, 41, 37, 37, 86, 86, 40, 40, 86, 86, 40, 40, 39, 39, 29, 29, 27, 27, 13, 13, 81, 81]"
1417,43,"[35, 35, 67, 67, 19, 19, 21, 21, 19, 19, 48, 48, 46, 46, 77, 77, 90, 90, 74, 74, 12, 12, 13, 13, 11, 11, 99, 99, 44, 44, 94, 94, 80, 80, 58, 58]"
1418,9,"[1, 1, 76, 76, 8, 8, 12, 12, 61, 61, 81, 81, 57, 57, 31, 31, 83, 83, 93, 93, 20, 20, 70, 70, 91, 91, 24, 24, 46, 46, 22, 22, 30, 30, 27, 27]"
1419,16,"[29, 29, 12, 12, 88, 88, 60, 60, 69, 69, 26, 26, 74, 74, 52, 52, 4, 4, 88, 88, 54, 54, 43, 43, 99, 99, 40, 40, 9, 9, 82, 82, 58, 58, 10, 10]"
1420,81,"[91, 91, 82, 82, 12, 12, 13, 13, 24, 24, 16, 16, 87, 87, 28, 28, 68, 68, 33, 33, 1, 1, 53, 53, 61, 61, 68, 68, 70, 70, 27, 27, 42, 42, 93, 93]"
1421,52,"[36, 36, 67, 67, 45, 45, 86, 86, 72, 72, 7, 7, 77, 77, 44, 44, 34, 34, 69, 69, 29, 29, 66, 66, 8, 8, 47, 47, 43, 43, 98, 98, 1, 1, 69, 69]"
1422,9,"[38, 38, 76, 76, 70, 70, 66, 66, 56, 56, 51, 51, 27, 27, 24, 24, 76, 76, 45, 45, 52, 52, 45, 45, 1, 1, 72, 72, 53, 53, 36, 36, 67, 67, 85, 85]"
1423,34,"[84, 84, 77, 77, 49, 49, 89, 89, 39, 39, 80, 80, 2, 2, 86, 86, 99, 99, 20, 20, 60, 60, 98, 98, 23, 23, 81, 81, 34, 34, 42, 42, 82, 82, 62, 62]"
1424,41,"[3, 3, 10, 10, 75, 75, 59, 59, 35, 35, 55, 55, 96, 96, 26, 26, 53, 53, 46, 46, 11, 11, 52, 52, 92, 92, 5, 5, 74, 74, 14, 14, 13, 13, 59, 59]"
1425,19,"[4, 4, 38, 38, 35, 35, 98, 98, 99, 99, 43, 43, 53, 53, 87, 87, 41, 41, 12, 12, 69, 69, 74, 74, 5, 5, 65, 65, 85, 85, 89, 89, 20, 20, 4, 4]"
1426,21,"[66, 66, 47, 47, 44, 44, 94, 94, 84, 84, 31, 31, 65, 65, 65, 65, 87, 87, 18, 18, 79, 79, 73, 73, 92, 92, 14, 14, 100, 100, 22, 22, 27, 27, 13, 13]"
1427,98,"[57, 57, 57, 57, 7, 7, 44, 44, 86, 86, 30, 30, 77, 77, 88, 88, 96, 96, 91, 91, 0, 0, 42, 42, 98, 98, 77, 77, 56, 56, 20, 20, 84, 84, 87, 87]"
1428,63,"[23, 23, 11, 11, 27, 27, 30, 30, 53, 53, 11, 11, 60, 60, 89, 89, 63, 63, 90, 90, 77, 77, 84, 84, 37, 37, 88, 88, 53, 53, 95, 95, 23, 23, 93, 93]"
1429,93,"[64, 64, 69, 69, 12, 12, 36, 36, 34, 34, 16, 16, 56, 56, 36, 36, 13, 13, 13, 13, 50, 50, 81, 81, 30, 30, 5, 5, 50, 50, 38, 38, 19, 19, 31, 31]"
1430,44,"[35, 35, 48, 48, 11, 11, 83, 83, 78, 78, 68, 68, 12, 12, 8, 8, 12, 12, 81, 81, 31, 31, 36, 36, 83, 83, 98, 98, 93, 93, 5, 5, 92, 92, 79, 79]"
1431,10,"[90, 90, 4, 4, 99, 99, 84, 84, 67, 67, 14, 14, 50, 50, 65, 65, 59, 59, 41, 41, 96, 96, 69, 69, 97, 97, 81, 81, 17, 17, 49, 49, 34, 34, 13, 13]"
1432,71,"[95, 95, 16, 16, 19, 19, 85, 85, 42, 42, 66, 66, 21, 21, 81, 81, 52, 52, 39, 39, 71, 71, 64, 64, 73, 73, 51, 51, 19, 19, 11, 11, 79, 79, 13, 13]"
1433,15,"[94, 94, 34, 34, 16, 16, 92, 92, 85, 85, 45, 45, 62, 62, 72, 72, 45, 45, 44, 44, 4, 4, 37, 37, 96, 96, 70, 70, 69, 69, 98, 98, 33, 33, 32, 32]"
1434,57,"[81, 81, 72, 72, 51, 51, 13, 13, 57, 57, 68, 68, 26, 26, 39, 39, 85, 85, 18, 18, 81, 81, 15, 15, 45, 45, 56, 56, 26, 26, 17, 17, 71, 71, 76, 76]"
1435,28,"[86, 86, 17, 17, 51, 51, 31, 31, 71, 71, 58, 58, 84, 84, 96, 96, 43, 43, 4, 4, 18, 18, 41, 41, 52, 52, 9, 9, 2, 2, 92, 92, 60, 60, 36, 36]"
1436,48,"[85, 85, 8, 8, 53, 53, 16, 16, 66, 66, 58, 58, 57, 57, 42, 42, 28, 28, 0, 0, 12, 12, 43, 43, 13, 13, 26, 26, 1, 1, 97, 97, 48, 48, 95, 95]"
1437,91,"[25, 25, 43, 43, 89, 89, 24, 24, 9, 9, 17, 17, 61, 61, 58, 58, 100, 100, 73, 73, 18, 18, 57, 57, 37, 37, 64, 64, 36, 36, 28, 28, 29, 29, 23, 23]"
1438,35,"[35, 35, 12, 12, 34, 34, 31, 31, 85, 85, 14, 14, 49, 49, 73, 73, 72, 72, 66, 66, 46, 46, 52, 52, 91, 91, 28, 28, 27, 27, 79, 79, 17, 17, 22, 22]"
1439,96,"[26, 26, 27, 27, 76, 76, 61, 61, 51, 51, 62, 62, 63, 63, 85, 85, 49, 49, 32, 32, 45, 45, 88, 88, 94, 94, 4, 4, 26, 26, 10, 10, 6, 6, 81, 81]"
1440,76,"[66, 66, 52, 52, 0, 0, 44, 44, 44, 44, 21, 21, 28, 28, 4, 4, 62, 62, 2, 2, 30, 30, 28, 28, 24, 24, 75, 75, 43, 43, 80, 80, 42, 42, 41, 41]"
1441,71,"[90, 90, 90, 90, 60, 60, 76, 76, 98, 98, 20, 20, 24, 24, 94, 94, 51, 51, 3, 3, 28, 28, 82, 82, 70, 70, 67, 67, 82, 82, 8, 8, 26, 26, 59, 59]"
1442,60,"[7, 7, 10, 10, 60, 60, 77, 77, 20, 20, 35, 35, 83, 83, 42, 42, 6, 6, 69, 69, 59, 59, 46, 46, 65, 65, 16, 16, 60, 60, 64, 64, 56, 56, 64, 64]"
1443,48,"[83, 83, 97, 97, 57, 57, 5, 5, 66, 66, 11, 11, 94, 94, 83, 83, 11, 11, 77, 77, 28, 28, 75, 75, 58, 58, 22, 22, 16, 16, 33, 33, 83, 83, 94, 94]"
1444,3,"[13, 13, 56, 56, 70, 70, 88, 88, 40, 40, 91, 91, 33, 33, 68, 68, 50, 50, 20, 20, 76, 76, 30, 30, 64, 64, 60, 60, 3, 3, 49, 49, 39, 39, 62, 62]"
1445,42,"[6, 6, 1, 1, 99, 99, 34, 34, 71, 71, 86, 86, 99, 99, 98, 98, 40, 40, 50, 50, 99, 99, 58, 58, 97, 97, 28, 28, 96, 96, 78, 78, 3, 3, 100, 100]"
1446,45,"[23, 23, 48, 48, 89, 89, 100, 100, 16, 16, 2, 2, 12, 12, 68, 68, 38, 38, 34, 34, 32, 32, 22, 22, 93, 93, 62, 62, 48, 48, 39, 39, 99, 99, 54, 54]"
1447,95,"[59, 59, 67, 67, 27, 27, 70, 70, 70, 70, 19, 19, 85, 85, 43, 43, 74, 74, 13, 13, 71, 71, 89, 89, 67, 67, 9, 9, 69, 69, 16, 16, 99, 99, 73, 73]"
1448,10,"[32, 32, 64, 64, 40, 40, 69, 69, 40, 40, 0, 0, 2, 2, 36, 36, 6, 6, 69, 69, 25, 25, 7, 7, 27, 27, 96, 96, 12, 12, 61, 61, 44, 44, 54, 54]"
1449,13,"[50, 50, 28, 28, 23, 23, 86, 86, 38, 38, 11, 11, 49, 49, 48, 48, 72, 72, 14, 14, 92, 92, 63, 63, 23, 23, 46, 46, 87, 87, 39, 39, 32, 32, 20, 20]"
1450,46,"[72, 72, 38, 38, 22, 22, 15, 15, 56, 56, 38, 38, 98, 98, 54, 54, 67, 67, 30, 30, 5, 5, 64, 64, 67, 67, 59, 59, 60, 60, 9, 9, 18, 18, 39, 39]"
1451,27,"[53, 53, 42, 42, 64, 64, 33, 33, 5, 5, 100, 100, 78, 78, 16, 16, 44, 44, 64, 64, 94, 94, 66, 66, 89, 89, 7, 7, 18, 18, 83, 83, 8, 8, 98, 98]"
1452,56,"[64, 64, 50, 50, 65, 65, 41, 41, 27, 27, 84, 84, 19, 19, 16, 16, 90, 90, 16, 16, 35, 35, 90, 90, 84, 84, 45, 45, 69, 69, 49, 49, 88, 88, 23, 23]"
1453,76,"[91, 91, 62, 62, 89, 89, 46, 46, 31, 31, 55, 55, 46, 46, 68, 68, 97, 97, 15, 15, 20, 20, 56, 56, 6, 6, 68, 68, 36, 36, 66, 66, 90, 90, 40, 40]"
1454,15,"[14, 14, 8, 8, 44, 44, 38, 38, 5, 5, 32, 32, 5, 5, 67, 67, 20, 20, 96, 96, 35, 35, 33, 33, 99, 99, 40, 40, 26, 26, 25, 25, 45, 45, 58, 58]"
1455,12,"[77, 77, 94, 94, 77, 77, 64, 64, 46, 46, 93, 93, 67, 67, 74, 74, 82, 82, 13, 13, 100, 100, 37, 37, 87, 87, 2, 2, 64, 64, 38, 38, 10, 10, 40, 40]"
1456,2,"[13, 13, 2, 2, 28, 28, 82, 82, 79, 79, 99, 99, 1, 1, 54, 54, 95, 95, 37, 37, 63, 63, 56, 56, 94, 94, 27, 27, 80, 80, 46, 46, 48, 48, 64, 64]"
1457,74,"[65, 65, 30, 30, 43, 43, 19, 19, 93, 93, 99, 99, 70, 70, 99, 99, 73, 73, 60, 60, 24, 24, 38, 38, 28, 28, 70, 70, 26, 26, 41, 41, 19, 19, 32, 32]"
1458,54,"[52, 52, 69, 69, 95, 95, 90, 90, 24, 24, 71, 71, 53, 53, 59, 59, 80, 80, 61, 61, 91, 91, 19, 19, 42, 42, 55, 55, 47, 47, 89, 89, 78, 78, 92, 92]"
1459,11,"[51, 51, 68, 68, 22, 22, 70, 70, 56, 56, 31, 31, 28, 28, 21, 21, 53, 53, 66, 66, 66, 66, 11, 11, 84, 84, 47, 47, 59, 59, 8, 8, 99, 99, 75, 75]"
1460,75,"[30, 30, 18, 18, 29, 29, 12, 12, 37, 37, 27, 27, 95, 95, 12, 12, 78, 78, 82, 82, 64, 64, 44, 44, 65, 65, 59, 59, 33, 33, 45, 45, 3, 3, 28, 28]"
1461,26,"[60, 60, 70, 70, 65, 65, 70, 70, 57, 57, 91, 91, 43, 43, 75, 75, 8, 8, 31, 31, 54, 54, 91, 91, 67, 67, 67, 67, 92, 92, 20, 20, 0, 0, 6, 6]"
1462,21,"[96, 96, 11, 11, 32, 32, 70, 70, 89, 89, 24, 24, 49, 49, 34, 34, 84, 84, 87, 87, 23, 23, 89, 89, 79, 79, 98, 98, 5, 5, 14, 14, 50, 50, 71, 71]"
1463,27,"[41, 41, 47, 47, 60, 60, 19, 19, 76, 76, 57, 57, 31, 31, 2, 2, 32, 32, 75, 75, 23, 23, 20, 20, 15, 15, 0, 0, 85, 85, 8, 8, 9, 9, 7, 7]"
1464,38,"[1, 1, 52, 52, 81, 81, 97, 97, 46, 46, 86, 86, 64, 64, 60, 60, 43, 43, 32, 32, 24, 24, 1, 1, 62, 62, 15, 15, 80, 80, 97, 97, 35, 35, 67, 67]"
1465,28,"[77, 77, 20, 20, 21, 21, 3, 3, 36, 36, 99, 99, 71, 71, 4, 4, 46, 46, 91, 91, 92, 92, 53, 53, 61, 61, 1, 1, 8, 8, 97, 97, 8, 8, 8, 8]"
1466,85,"[89, 89, 31, 31, 35, 35, 4, 4, 95, 95, 73, 73, 33, 33, 15, 15, 51, 51, 81, 81, 64, 64, 47, 47, 66, 66, 37, 37, 83, 83, 18, 18, 13, 13, 48, 48]"
1467,63,"[5, 5, 69, 69, 8, 8, 36, 36, 23, 23, 46, 46, 17, 17, 22, 22, 37, 37, 18, 18, 19, 19, 35, 35, 59, 59, 34, 34, 49, 49, 9, 9, 50, 50, 54, 54]"
1468,35,"[12, 12, 97, 97, 97, 97, 75, 75, 78, 78, 75, 75, 99, 99, 93, 93, 36, 36, 27, 27, 97, 97, 60, 60, 43, 43, 53, 53, 5, 5, 50, 50, 6, 6, 56, 56]"
1469,24,"[37, 37, 80, 80, 80, 80, 32, 32, 26, 26, 48, 48, 84, 84, 98, 98, 81, 81, 92, 92, 25, 25, 11, 11, 79, 79, 38, 38, 90, 90, 81, 81, 44, 44, 19, 19]"
1470,30,"[46, 46, 40, 40, 0, 0, 100, 100, 99, 99, 67, 67, 24, 24, 25, 25, 80, 80, 49, 49, 55, 55, 52, 52, 43, 43, 30, 30, 50, 50, 77, 77, 97, 97, 21, 21]"
1471,9,"[55, 55, 15, 15, 58, 58, 15, 15, 35, 35, 54, 54, 62, 62, 86, 86, 45, 45, 31, 31, 47, 47, 10, 10, 46, 46, 78, 78, 21, 21, 48, 48, 99, 99, 96, 96]"
1472,15,"[6, 6, 34, 34, 31, 31, 0, 0, 33, 33, 83, 83, 28, 28, 14, 14, 28, 28, 24, 24, 18, 18, 73, 73, 39, 39, 89, 89, 84, 84, 58, 58, 14, 14, 33, 33]"
1473,70,"[86, 86, 66, 66, 23, 23, 7, 7, 0, 0, 93, 93, 47, 47, 71, 71, 55, 55, 48, 48, 18, 18, 82, 82, 95, 95, 47, 47, 74, 74, 47, 47, 81, 81, 27, 27]"
1474,88,"[79, 79, 76, 76, 20, 20, 13, 13, 39, 39, 99, 99, 39, 39, 8, 8, 68, 68, 26, 26, 42, 42, 10, 10, 59, 59, 82, 82, 100, 100, 26, 26, 26, 26, 57, 57]"
1475,0,"[57, 57, 50, 50, 48, 48, 44, 44, 1, 1, 57, 57, 86, 86, 12, 12, 85, 85, 10, 10, 80, 80, 62, 62, 57, 57, 61, 61, 13, 13, 9, 9, 90, 90, 97, 97]"
1476,78,"[16, 16, 23, 23, 77, 77, 28, 28, 55, 55, 51, 51, 18, 18, 4, 4, 60, 60, 36, 36, 82, 82, 82, 82, 58, 58, 64, 64, 36, 36, 59, 59, 31, 31, 49, 49]"
1477,79,"[43, 43, 18, 18, 37, 37, 59, 59, 12, 12, 57, 57, 2, 2, 1, 1, 65, 65, 75, 75, 71, 71, 20, 20, 72, 72, 9, 9, 68, 68, 77, 77, 87, 87, 64, 64]"
1478,58,"[42, 42, 48, 48, 68, 68, 39, 39, 11, 11, 54, 54, 80, 80, 44, 44, 14, 14, 91, 91, 21, 21, 39, 39, 36, 36, 88, 88, 30, 30, 72, 72, 88, 88, 62, 62]"
1479,13,"[78, 78, 70, 70, 38, 38, 4, 4, 56, 56, 97, 97, 75, 75, 32, 32, 64, 64, 43, 43, 30, 30, 62, 62, 24, 24, 43, 43, 20, 20, 93, 93, 43, 43, 79, 79]"
1480,28,"[58, 58, 41, 41, 22, 22, 43, 43, 32, 32, 24, 24, 62, 62, 49, 49, 67, 67, 42, 42, 16, 16, 64, 64, 73, 73, 28, 28, 54, 54, 28, 28, 51, 51, 59, 59]"
1481,77,"[17, 17, 27, 27, 86, 86, 0, 0, 29, 29, 39, 39, 2, 2, 81, 81, 10, 10, 19, 19, 47, 47, 70, 70, 100, 100, 33, 33, 12, 12, 80, 80, 9, 9, 75, 75]"
1482,80,"[75, 75, 83, 83, 64, 64, 11, 11, 26, 26, 58, 58, 7, 7, 38, 38, 72, 72, 85, 85, 59, 59, 40, 40, 38, 38, 73, 73, 86, 86, 98, 98, 24, 24, 87, 87]"
1483,79,"[68, 68, 61, 61, 94, 94, 17, 17, 85, 85, 78, 78, 83, 83, 69, 69, 10, 10, 54, 54, 44, 44, 11, 11, 98, 98, 70, 70, 71, 71, 100, 100, 62, 62, 43, 43]"
1484,93,"[96, 96, 53, 53, 39, 39, 98, 98, 13, 13, 82, 82, 3, 3, 91, 91, 86, 86, 75, 75, 16, 16, 61, 61, 7, 7, 36, 36, 43, 43, 96, 96, 92, 92, 69, 69]"
1485,10,"[96, 96, 84, 84, 69, 69, 36, 36, 29, 29, 82, 82, 3, 3, 76, 76, 16, 16, 71, 71, 30, 30, 6, 6, 26, 26, 29, 29, 43, 43, 65, 65, 64, 64, 15, 15]"
1486,78,"[20, 20, 12, 12, 83, 83, 42, 42, 71, 71, 89, 89, 50, 50, 12, 12, 57, 57, 70, 70, 35, 35, 58, 58, 61, 61, 73, 73, 24, 24, 71, 71, 99, 99, 94, 94]"
1487,99,"[22, 22, 87, 87, 39, 39, 44, 44, 79, 79, 32, 32, 2, 2, 30, 30, 51, 51, 98, 98, 98, 98, 23, 23, 65, 65, 19, 19, 51, 51, 23, 23, 78, 78, 95, 95]"
1488,81,"[98, 98, 51, 51, 24, 24, 92, 92, 70, 70, 84, 84, 37, 37, 42, 42, 2, 2, 100, 100, 55, 55, 35, 35, 84, 84, 49, 49, 11, 11, 95, 95, 92, 92, 31, 31]"
1489,17,"[90, 90, 19, 19, 3, 3, 23, 23, 25, 25, 14, 14, 1, 1, 27, 27, 23, 23, 86, 86, 90, 90, 32, 32, 71, 71, 13, 13, 23, 23, 54, 54, 45, 45, 64, 64]"
1490,47,"[43, 43, 3, 3, 19, 19, 99, 99, 0, 0, 48, 48, 43, 43, 7, 7, 64, 64, 95, 95, 69, 69, 76, 76, 76, 76, 53, 53, 68, 68, 51, 51, 35, 35, 50, 50]"
1491,5,"[89, 89, 35, 35, 92, 92, 52, 52, 47, 47, 71, 71, 71, 71, 41, 41, 12, 12, 46, 46, 51, 51, 60, 60, 50, 50, 6, 6, 18, 18, 86, 86, 64, 64, 55, 55]"
1492,37,"[67, 67, 5, 5, 15, 15, 19, 19, 30, 30, 54, 54, 24, 24, 98, 98, 82, 82, 55, 55, 68, 68, 68, 68, 77, 77, 60, 60, 65, 65, 45, 45, 3, 3, 45, 45]"
1493,63,"[27, 27, 84, 84, 21, 21, 80, 80, 71, 71, 91, 91, 75, 75, 65, 65, 78, 78, 83, 83, 50, 50, 62, 62, 29, 29, 6, 6, 73, 73, 34, 34, 92, 92, 72, 72]"
1494,32,"[58, 58, 91, 91, 30, 30, 74, 74, 13, 13, 42, 42, 65, 65, 96, 96, 19, 19, 2, 2, 25, 25, 16, 16, 57, 57, 43, 43, 4, 4, 90, 90, 96, 96, 52, 52]"
1495,42,"[61, 61, 5, 5, 20, 20, 92, 92, 80, 80, 24, 24, 32, 32, 78, 78, 6, 6, 52, 52, 7, 7, 42, 42, 6, 6, 19, 19, 0, 0, 93, 93, 76, 76, 28, 28]"
1496,31,"[15, 15, 82, 82, 33, 33, 14, 14, 98, 98, 72, 72, 62, 62, 28, 28, 35, 35, 69, 69, 9, 9, 3, 3, 35, 35, 94, 94, 72, 72, 90, 90, 17, 17, 18, 18]"
1497,100,"[65, 65, 68, 68, 73, 73, 98, 98, 43, 43, 85, 85, 76, 76, 23, 23, 81, 81, 10, 10, 17, 17, 50, 50, 5, 5, 27, 27, 52, 52, 91, 91, 85, 85, 14, 14]"
1498,67,"[17, 17, 87, 87, 50, 50, 55, 55, 67, 67, 39, 39, 17, 17, 7, 7, 48, 48, 78, 78, 30, 30, 12, 12, 27, 27, 75, 75, 31, 31, 13, 13, 18, 18, 25, 25]"
1499,16,"[35, 35, 24, 24, 59, 59, 84, 84, 10, 10, 80, 80, 24, 24, 34, 34, 92, 92, 9, 9, 23, 23, 69, 69, 89, 89, 73, 73, 49, 49, 65, 65, 83, 83, 70, 70]"
1500,17,"[52, 52, 88, 88, 53, 53, 25, 25, 92, 92, 83, 83, 18, 18, 34, 34, 10, 10, 26, 26, 74, 74, 48, 48, 85, 85, 11, 11, 30, 30, 92, 92, 45, 45, 46, 46]"
1501,10,"[70, 70, 79, 79, 13, 13, 89, 89, 18, 18, 5, 5, 31, 31, 78, 78, 56, 56, 42, 42, 86, 86, 58, 58, 58, 58, 45, 45, 9, 9, 93, 93, 75, 75, 70, 70]"
1502,62,"[27, 27, 40, 40, 39, 39, 100, 100, 4, 4, 39, 39, 1, 1, 70, 70, 73, 73, 9, 9, 78, 78, 77, 77, 42, 42, 67, 67, 83, 83, 49, 49, 11, 11, 52, 52]"
1503,33,"[50, 50, 93, 93, 50, 50, 43, 43, 68, 68, 59, 59, 73, 73, 100, 100, 32, 32, 54, 54, 86, 86, 7, 7, 93, 93, 73, 73, 58, 58, 14, 14, 21, 21, 33, 33]"
1504,93,"[14, 14, 76, 76, 51, 51, 7, 7, 98, 98, 19, 19, 94, 94, 56, 56, 8, 8, 36, 36, 9, 9, 86, 86, 70, 70, 25, 25, 19, 19, 47, 47, 0, 0, 87, 87]"
1505,52,"[95, 95, 29, 29, 38, 38, 54, 54, 27, 27, 72, 72, 5, 5, 54, 54, 63, 63, 23, 23, 67, 67, 89, 89, 72, 72, 88, 88, 56, 56, 38, 38, 98, 98, 70, 70]"
1506,42,"[68, 68, 18, 18, 66, 66, 84, 84, 50, 50, 94, 94, 3, 3, 15, 15, 35, 35, 8, 8, 47, 47, 73, 73, 15, 15, 32, 32, 76, 76, 39, 39, 50, 50, 9, 9]"
1507,10,"[84, 84, 29, 29, 1, 1, 68, 68, 9, 9, 8, 8, 73, 73, 73, 73, 42, 42, 62, 62, 48, 48, 42, 42, 69, 69, 32, 32, 25, 25, 12, 12, 70, 70, 72, 72]"
1508,35,"[15, 15, 64, 64, 27, 27, 52, 52, 0, 0, 39, 39, 17, 17, 45, 45, 74, 74, 39, 39, 63, 63, 94, 94, 15, 15, 45, 45, 13, 13, 61, 61, 30, 30, 55, 55]"
1509,53,"[91, 91, 37, 37, 67, 67, 50, 50, 39, 39, 90, 90, 59, 59, 46, 46, 14, 14, 70, 70, 40, 40, 36, 36, 53, 53, 100, 100, 41, 41, 39, 39, 40, 40, 74, 74]"
1510,12,"[83, 83, 11, 11, 97, 97, 56, 56, 28, 28, 100, 100, 22, 22, 12, 12, 96, 96, 92, 92, 33, 33, 16, 16, 43, 43, 85, 85, 81, 81, 23, 23, 50, 50, 11, 11]"
1511,70,"[37, 37, 57, 57, 64, 64, 66, 66, 100, 100, 67, 67, 53, 53, 3, 3, 80, 80, 78, 78, 18, 18, 58, 58, 62, 62, 23, 23, 81, 81, 59, 59, 27, 27, 98, 98]"
1512,53,"[90, 90, 40, 40, 90, 90, 63, 63, 14, 14, 4, 4, 33, 33, 36, 36, 19, 19, 34, 34, 91, 91, 55, 55, 10, 10, 69, 69, 52, 52, 72, 72, 24, 24, 46, 46]"
1513,49,"[96, 96, 6, 6, 7, 7, 96, 96, 44, 44, 39, 39, 55, 55, 22, 22, 28, 28, 98, 98, 86, 86, 75, 75, 83, 83, 32, 32, 97, 97, 51, 51, 45, 45, 9, 9]"
1514,100,"[32, 32, 7, 7, 65, 65, 40, 40, 36, 36, 48, 48, 7, 7, 42, 42, 32, 32, 23, 23, 89, 89, 29, 29, 57, 57, 85, 85, 96, 96, 12, 12, 32, 32, 70, 70]"
1515,88,"[89, 89, 3, 3, 52, 52, 2, 2, 71, 71, 24, 24, 80, 80, 3, 3, 60, 60, 23, 23, 50, 50, 66, 66, 52, 52, 16, 16, 74, 74, 1, 1, 58, 58, 45, 45]"
1516,40,"[86, 86, 76, 76, 92, 92, 70, 70, 44, 44, 99, 99, 49, 49, 6, 6, 98, 98, 65, 65, 7, 7, 74, 74, 78, 78, 26, 26, 100, 100, 49, 49, 19, 19, 79, 79]"
1517,95,"[81, 81, 14, 14, 83, 83, 81, 81, 11, 11, 79, 79, 44, 44, 57, 57, 12, 12, 54, 54, 83, 83, 31, 31, 67, 67, 15, 15, 99, 99, 67, 67, 72, 72, 76, 76]"
1518,92,"[48, 48, 15, 15, 46, 46, 49, 49, 49, 49, 91, 91, 39, 39, 90, 90, 9, 9, 72, 72, 95, 95, 42, 42, 50, 50, 10, 10, 55, 55, 79, 79, 41, 41, 5, 5]"
1519,77,"[85, 85, 38, 38, 51, 51, 51, 51, 82, 82, 37, 37, 93, 93, 73, 73, 26, 26, 70, 70, 90, 90, 66, 66, 21, 21, 83, 83, 46, 46, 28, 28, 82, 82, 45, 45]"
1520,88,"[40, 40, 14, 14, 91, 91, 35, 35, 77, 77, 44, 44, 59, 59, 94, 94, 96, 96, 8, 8, 66, 66, 49, 49, 84, 84, 22, 22, 100, 100, 19, 19, 24, 24, 84, 84]"
1521,10,"[41, 41, 69, 69, 39, 39, 25, 25, 48, 48, 22, 22, 0, 0, 33, 33, 75, 75, 19, 19, 84, 84, 68, 68, 97, 97, 70, 70, 6, 6, 54, 54, 57, 57, 15, 15]"
1522,78,"[90, 90, 97, 97, 10, 10, 47, 47, 82, 82, 73, 73, 30, 30, 42, 42, 11, 11, 2, 2, 98, 98, 11, 11, 19, 19, 2, 2, 13, 13, 0, 0, 96, 96, 92, 92]"
1523,86,"[72, 72, 58, 58, 64, 64, 8, 8, 53, 53, 3, 3, 91, 91, 53, 53, 86, 86, 63, 63, 65, 65, 0, 0, 31, 31, 87, 87, 11, 11, 34, 34, 29, 29, 43, 43]"
1524,64,"[15, 15, 63, 63, 95, 95, 14, 14, 20, 20, 25, 25, 28, 28, 80, 80, 28, 28, 8, 8, 93, 93, 26, 26, 96, 96, 8, 8, 15, 15, 35, 35, 24, 24, 63, 63]"
1525,65,"[51, 51, 23, 23, 30, 30, 4, 4, 98, 98, 85, 85, 98, 98, 86, 86, 100, 100, 76, 76, 79, 79, 13, 13, 65, 65, 64, 64, 24, 24, 51, 51, 29, 29, 51, 51]"
1526,54,"[74, 74, 2, 2, 10, 10, 0, 0, 86, 86, 0, 0, 82, 82, 50, 50, 54, 54, 98, 98, 92, 92, 47, 47, 85, 85, 85, 85, 68, 68, 74, 74, 85, 85, 93, 93]"
1527,13,"[2, 2, 45, 45, 3, 3, 5, 5, 100, 100, 43, 43, 42, 42, 35, 35, 67, 67, 66, 66, 73, 73, 52, 52, 78, 78, 45, 45, 47, 47, 40, 40, 34, 34, 42, 42]"
1528,37,"[85, 85, 52, 52, 35, 35, 88, 88, 85, 85, 71, 71, 12, 12, 46, 46, 60, 60, 50, 50, 7, 7, 22, 22, 78, 78, 0, 0, 9, 9, 7, 7, 75, 75, 52, 52]"
1529,46,"[51, 51, 88, 88, 6, 6, 41, 41, 77, 77, 4, 4, 67, 67, 66, 66, 100, 100, 58, 58, 12, 12, 42, 42, 46, 46, 7, 7, 57, 57, 15, 15, 16, 16, 15, 15]"
